Project,Property address,Latitude,Longitude,Google map location,Market Rate Rentals,Market Rate Owner,Affordable Rentals,Affordable Owner,Total units,Notes,Move-in date,Status,City project info,Market rate,Media,Townhouse,Duplex,Micro,Studio,1 BR,2 BR,3BR,Co-living,Condo HOA,ADU,30% AMI,60% AMI,100% AMI,Live/work,Land use application number,Additional info,
Residential development North Mill Pond,105 Bartlett Street,43.0724024,-70.7704248,https://maps.app.goo.gl/HcqVpaZTwbvoWtRJ9,152,0,,,152,,2027,Approved,https://www.portsmouthnh.gov/planportsmouth/105-bartlett-street#zoning,Y,https://www.seacoastonline.com/story/news/local/2025/04/03/portsmouth-population-housing-boom/82638733007/,,,,,,,,,,,,,,,,,
2 Russell Street mixed use,2 Russell Street,43.0789318,-70.7606564,https://maps.app.goo.gl/iAZqkjDRfwFiqkfg7,80,0,,,80,,2028,Approved,https://portsmouthnh.viewpointcloud.com/records/64775,Y,https://www.seacoastonline.com/story/news/local/2025/04/03/portsmouth-population-housing-boom/82638733007/,,,,,,,,,,,,,,,LU-22-111,,
53 Green Street,53 Green Street,43.0797566,-70.7616943,https://maps.app.goo.gl/XuUhimSjzd9MDYqc7,0,45,,,45,,2028,Approved,https://www.portsmouthnh.gov/planportsmouth/53-green-street,Y,https://www.seacoastonline.com/story/news/local/2025/04/03/portsmouth-population-housing-boom/82638733007/,,,,,,,,,,,,,,,,,
1400 Lafayette Road,1400 Lafayette Road,43.0460362,-70.772552,https://maps.app.goo.gl/nogcuTCoAhSm4RPc6,0,32,,,32,Estimated,2026,Approved,https://www.portsmouthnh.gov/planportsmouth/1400-lafayette-rd,Y,https://www.seacoastonline.com/story/news/local/2025/04/03/portsmouth-population-housing-boom/82638733007/,32,,,,,,,,,,,,,,,,
83 Peverly Hill Road,83 Peverly Hill Road,43.0565537,-70.7816313,https://maps.app.goo.gl/fBqT7rFiWqfatMJM6,0,55,,,55,,2025,Approved,https://www.portsmouthnh.gov/planportsmouth/83-peverly-hill-road,Y,https://www.seacoastonline.com/story/news/local/2025/04/03/portsmouth-population-housing-boom/82638733007/,,,,,,,,,55,,,,,,,,
1-31 Raynes Ave,"1-31 Raynes Ave, 203 Maplewood Ave",,,https://maps.app.goo.gl/NKJg5Tmp3U9QUFjH9,0,32,,,32,,2027,Approved,https://www.portsmouthnh.gov/planportsmouth/1-31-raynes-ave-203-maplewood-ave,Y,https://www.seacoastonline.com/story/news/local/2025/04/03/portsmouth-population-housing-boom/82638733007/,,,,,,,,,,,,,,,,,
Old Times Building ,266-278 State Street,43.07564,-70.7579267,https://maps.app.goo.gl/sdK5fdoYjkN87zs69,0,17,,,17,Estimated,2027,Permitting,https://www.portsmouthnh.gov/planportsmouth/266-278-state-st,Y,https://www.seacoastonline.com/story/news/local/2025/04/03/portsmouth-population-housing-boom/82638733007/,,,,,,,,,,,,,,,,,
Steam Factory 361 Hanover,361 Hanover Street,43.0758249,-70.7632942,https://maps.app.goo.gl/XLtsgxUCQ3BtdU8q8,42,6,,,48,,2027,Permitting,https://portsmouthnh.viewpointcloud.com/records/87640,Y,https://www.seacoastonline.com/story/news/local/2025/04/03/portsmouth-population-housing-boom/82638733007/,4,1,,,,,,,,,,,,,,,
Multifamily Development,0 Dunlin Way,43.0908684,-70.7776162,https://maps.app.goo.gl/8m7SyC17kc2Y1pVz7,270,0,,,270,,2028,Concept,https://portsmouthnh.viewpointcloud.com/records/90327,Y,https://www.seacoastonline.com/story/news/local/2025/04/03/portsmouth-population-housing-boom/82638733007/,,,,,,,,,,,,,,,LUPD-25-3,,
Sage Portsmouth,80 Constitution Ave,43.0345285,-70.7853316,https://maps.app.goo.gl/QF5JmLoyybaPrFFc8,0,76,,,76,,2025,Under construction,https://portsmouthnh.viewpointcloud.com/locations/32807,Y/N,https://www.seacoastonline.com/story/news/local/2025/04/03/portsmouth-population-housing-boom/82638733007/,,,,,,,,,76,,,,,,,,
100 Durgin Lane,100 Durgin Lane,43.0873336,-70.7950066,https://maps.app.goo.gl/KRwaoisedwziggoD8,360,0,,,360,,2027,Permitting,https://portsmouthnh.viewpointcloud.com/records/82435,Y,https://www.seacoastonline.com/story/news/local/2025/04/03/portsmouth-population-housing-boom/82638733007/,,,,,,,,,,,,,,,LU-24-62,,
Residences at Foundry Place,89-99 Foundry Place,43.0763476,-70.7637816,https://maps.app.goo.gl/jA2JWY4E94i8LynL6,0,51,,,51,,2026,Under construction,https://www.portsmouthnh.gov/planportsmouth/89-99-foundry-place-lot-6-deer-street-associates-projects,Y,https://www.seacoastonline.com/story/news/local/2025/04/03/portsmouth-population-housing-boom/82638733007/,,,,,,,,,,,,,,,LU-19-154,,
Congress Street Co-Living,1 Congress Street,43.076864,-70.758262,https://maps.app.goo.gl/WvjdbCnBow4ifVsN6,82,0,,,82,,2028,Design,https://portsmouthnh.viewpointcloud.com/records/61109,Y,https://www.seacoastonline.com/story/news/local/2025/04/03/portsmouth-population-housing-boom/82638733007/,,,,,,,,82,,,,,,,LU-22-12,,
581 Lafayette Road,581 Lafayette Road,43.0564038,-70.769067,https://maps.app.goo.gl/22W95wMTDdTW6wiYA,57,0,,,57,,2027,Approved,https://portsmouthnh.viewpointcloud.com/locations/30155,Y/N,https://www.seacoastonline.com/story/news/local/2025/04/03/portsmouth-population-housing-boom/82638733007/,,,,,,,,,,,,,,,,,
852 Lafayette Road (WHEB),852 Lafayette Road,43.0512436,-70.7707333,https://maps.app.goo.gl/22W95wMTDdTW6wiYA,72,0,,,72,,2027,Approved,,Y,https://www.seacoastonline.com/story/news/local/2025/04/03/portsmouth-population-housing-boom/82638733007/,,,,,,,,,,,,,,,,,
Statey's,238 Deer Street,43.0775785,-70.7621678,https://maps.app.goo.gl/6yo49S9D9RTNMkF2A,0,21,,,21,,2026,Approved,https://portsmouthnh.viewpointcloud.com/locations/31238,Y,https://www.seacoastonline.com/story/news/local/2025/04/03/portsmouth-population-housing-boom/82638733007/,,,,,,,,,,,,,,,,,
Maplewood/Deer,Maplewood Ave/Deer St,,,https://maps.app.goo.gl/jjGJ8Phh3o8b8GEh7,0,14,,,14,,2025,Under construction,,,https://www.seacoastonline.com/story/news/local/2025/04/03/portsmouth-population-housing-boom/82638733007/,,,,,,,,,,,,,,,,,
Sherburne School Workforce,35 Sherburne Road,43.0597306,-70.7995778,https://maps.app.goo.gl/FyazKUwtF7n8pVfa8,,,127,,127,Approved,2027,Design,https://portsmouthnh.viewpointcloud.com/locations/30412,N,https://www.seacoastonline.com/story/news/local/2025/04/03/portsmouth-population-housing-boom/82638733007/,,,,,54,35,24,,,,,,,8,,https://porthousing.org/sherburne-school-workforce-housing-project,
Christ Episcopal Church Workforce,1035 Lafayette Road,43.0486589,-70.771446,https://maps.app.goo.gl/UzpEPMGPRfsbaFFi8,,,51,,51,Approved,2027,Stalled,https://portsmouthnh.viewpointcloud.com/locations/30347,N,https://www.seacoastonline.com/story/news/local/2025/04/03/portsmouth-population-housing-boom/82638733007/,,,,,31,9,2,,,,,,,,LU-24-92,,
Service Credit Union Workforce,Route 1,,,https://maps.app.goo.gl/Rxvzt9HE5ECpYn148,,,0,,0,Unknown,2030,Concept only,,Y/N,,,,,,,,,,,,,,,,,,
City Hall Lower Lot Workforce (or other),Junkins Ave,43.0696861,-70.7544452,https://maps.app.goo.gl/fqTfaDzAHL1rrXfFA,,,0,,0,Unknown,2030,Idea only,,N,,,,,,,,,,,,,,,,,,
Kane Land Swap Workforce ,Dunlin Way,43.0908684,-70.7776162,https://maps.app.goo.gl/URrSuuosJypkgmAd9,,,100,,100,Estimated,2028,Idea only,,N,https://www.seacoastonline.com/story/news/local/2025/04/03/portsmouth-population-housing-boom/82638733007/,,,,,,,,,,,,,,,,,
Sage Portsmouth (Workforce to Own),80 Constitution Ave,43.0345285,-70.7853316,https://maps.app.goo.gl/QF5JmLoyybaPrFFc8,,,,19,19,Dev incentive,2025,Under construction,https://portsmouthnh.viewpointcloud.com/locations/32807,,https://www.seacoastonline.com/story/news/local/2025/04/03/portsmouth-population-housing-boom/82638733007/,,,,,,,,,19,,,,,,,,
581 Lafayette Road (Workforce to Rent),581 Lafayette Road,43.0564038,-70.769067,https://maps.app.goo.gl/22W95wMTDdTW6wiYA,,,15,,15,Dev incentive,2027,Approved,https://portsmouthnh.viewpointcloud.com/locations/30155,,https://www.seacoastonline.com/story/news/local/2025/04/03/portsmouth-population-housing-boom/82638733007/,,,,,,,,,,,,,,,,,